NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
HUI LONG 15,12C0246,9628441,General Dry Cargo Ship,112.11,105,16.4,8.4,6.2,"4,684","2,460","6,807",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9628441
TIGER MAANSHAN,20E0311,9913559,Deck Cargo Ship,192,189.3,37.6,13.5,8.2,"23,040","6,912","25,666",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9913559
SILVER PEACE,11H0177,9607655,General Dry Cargo Ship,120,112,20.8,13,8.6,"9,129","4,009","12,267",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9607655
PRINCE HENRY,11J0201,9614127,General Dry Cargo Ship,120,112,20.8,13,8.6,"9,129","4,009","12,278",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9614127
NARIE,18F0555,9767728,"General Dry Cargo Ship, Double Side Skin",199.8,194.5,23.7,15.3,10.7,"22,982","12,741","36,648",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9767728
GA HONG,11H0039,9596923,General Dry Cargo Ship,99.8,92.8,16.6,8,6.1,"3,935","2,081","5,418",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9596923
MAPLE BREEZE,10W0162,9487043,Bulk/Timber Carrier,177.5,168,28.2,14.2,9.5,"19,994","11,046","31,807",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9487043
CHIPOLBROK MOON,04G2050,9272216,General Dry Cargo Ship,199.8,189,27.8,15.5,10.3,"24,167","10,714","30,435",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9272216
XIA MEN ZE PING,06A1042,9304019,General Dry Cargo Ship,178.8,169.4,27.2,14.2,10.2,"20,471","10,630","27,414",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9304019
RU YI SONG,12C0085,9608934,General Dry Cargo Ship/Container Ship,179.5,169.5,27.2,14.5,10.5,"20,684","11,468","27,302",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9608934
ZHONG YUAN HAI YUN JIN QU,17Y6064,9846495,"General Dry Cargo Ship, Double Side Skin",201.8,198.3,32.26,19.3,12.5,"40,250","18,221","62,045",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9846495
XING PING,08P0122,9524396,Container Ship,117,110,19.7,8.5,6.4,"5,275","2,309","7,991",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9524396
DONG XIANG,12G0158,9649756,General Dry Cargo Ship,112.21,103,19,11.5,7.6,"6,982","2,928","8,526",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9649756
TAI GANG,08H0208,9550462,General Dry Cargo Ship,92.8,86,15.2,7.7,6.2,"2,994","1,636","4,631",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9550462
BLUE OCEAN,08F0068,9372004,General Dry Cargo Ship,117,110,19.7,8.5,6.45,"5,536","2,856","7,665",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9372004
GODSPEED,07P0025,9426738,Container Ship,117,110,19.7,8.5,6.4,"5,272","2,309","7,991",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9426738
YA LU JIANG,04U1004,9272591,Container Ship,110,103,19.7,8.5,6.5,"5,250","2,976","7,436",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9272591
HE HUI 19,12Q0212,9636010,General Dry Cargo Ship,125.96,116,17.6,9,6.6,"5,580","3,310","8,053",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9636010
GREAT SHANG,16B0449,9766906,"Bulk Carrier, Double Side Skin",199.99,196,36,18.54,11,"39,377","19,512","64,942",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9766906
TONG MAO 7,09K0031,9548196,General Dry Cargo Ship,99.92,92.5,16.2,8,6.28,"3,770","1,960","5,758",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9548196
COSCO SHIPPING FOUNTAIN,20F0266,9928891,"General Dry Cargo Ship, Double Side Skin",201.8,198.3,32.26,19.3,12.5,"40,350","17,897","61,495",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9928891
SINCERENICE 1,19X0139,9855757,"General Dry Cargo Ship, Double Side Skin",99.89,98.14,16,8.4,5.8,"4,506","2,492","6,407",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9855757
TIAN CONG,05P3028,9363326,General Dry Cargo Ship,81,76,13.6,6.8,5.5,"1,972","1,395","3,417",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9363326
YU AN,10P0224,9581928,General Dry Cargo Ship,87.33,80,14,8.5,6,"2,690","1,435","3,586",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9581928
XIN XIN HAI 1,12T0330,9623609,General Dry Cargo Ship,166.31,158.32,27.4,14.2,8.5,"21,270","10,278","29,011",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9623609
