NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
ASIANFAST 1,31644X,9852200,High speed craft,41.6,36.9,7.2,2.35,1.1,281,103,36,https://www.vesselfinder.com/vessels/details/9852200
MAJESTIC 7,28866D,9771585,High speed craft,33,32.7,8.5,2.8,1.15,244,86,37,https://www.vesselfinder.com/vessels/details/9771585
ENG HUP GALIA,35756S,9874399,Light ship - Fast passenger carrier,32,31,7.4,3.21,1.2,258,90,33,https://www.vesselfinder.com/vessels/details/9874399
SINDO 1,38P791,9043964,Light ship - Fast passenger carrier,30,24.6,6.4,1.7,0.97,144,63,20,https://www.vesselfinder.com/vessels/details/9043964
ELEANOR ROOSEVELT,35478Q,9863637,High speed craft,123.3,118.82,28,21,3.79,12262,3678,1339,https://www.vesselfinder.com/vessels/details/9863637
FAST CAT M22,37820L,9927172,Passenger ferry,54,52.8,18,4.2,2.28,882,272,265,https://www.vesselfinder.com/vessels/details/9927172
NATIONAL GEOGRAPHIC VENTURE,34584T,9799044,Passenger ship,72.54,65.3,13.41,4.88,2.9,2920,876,511,https://www.vesselfinder.com/vessels/details/9799044
ATHENA,12233Y,9398008,Passenger ship,59.6,52.2,10.68,3,3,1206,374,289,https://www.vesselfinder.com/vessels/details/9398008
DANICA,35385P,9871763,High speed craft,39,38.7,10,3.25,1.26,390,138,39,https://www.vesselfinder.com/vessels/details/9871763
QUEEN STAR 2,15707A,9571026,High speed craft,37,7.4,2.6,1.2,1404,281,105,31.46,https://www.vesselfinder.com/vessels/details/9571026
GEORGES NAHOUDA,24333B,9725342,Passenger / Ro-ro cargo ship,39,34.5,12.5,1.45,1532,371,122,219,https://www.vesselfinder.com/vessels/details/9725342
GIROLATA,03205L,9088859,FPOD,177.3,165.4,27,20.5,6.41,28417,9985,5848,https://www.vesselfinder.com/vessels/details/9088859
OSCAR WILDE,09072N,9364722,Passenger ferry,186,172.15,27.7,16,6.75,36249,13316,4700,https://www.vesselfinder.com/vessels/details/9364722
ARANUI 5,21625H,9677492,Passenger / Cargo ship,126.1,115.8,22.2,5.2,2656,11468,3550,3300,https://www.vesselfinder.com/vessels/details/9677492
LE JACQUES CARTIER,35181S,9852420,FLYQ,131.5,118.4,18,18.2,4.7,9988,2996,1359,https://www.vesselfinder.com/vessels/details/9852420
MONA ALMELAHIA,31361Q,9819519,High speed craft,39,38.7,10,1.26,,390,138,39,https://www.vesselfinder.com/vessels/details/9819519
FYNSHAV,00473R,9183025,OZPH,63.58,14.8,4.35,3.2,1157,3380,1014,68.8,https://www.vesselfinder.com/vessels/details/9183025
